,CID X LOC_NUM X VENDOR,target
24,046FK0C X 0 X 303,1
24,046FK0C X 0 X 401,1
24,046FK0C X 0 X 188,1
24,046FK0C X 0 X 176,1
24,046FK0C X 0 X 271,1
24,046FK0C X 0 X 23,1
24,046FK0C X 0 X 159,1
24,046FK0C X 0 X 577,1
24,046FK0C X 0 X 843,1
24,046FK0C X 0 X 110,1
24,046FK0C X 0 X 196,1
24,046FK0C X 0 X 547,1
24,046FK0C X 0 X 265,1
24,046FK0C X 0 X 250,1
24,046FK0C X 0 X 180,1
25,0480B40 X 0 X 294,1
25,0480B40 X 0 X 303,1
25,0480B40 X 0 X 843,1
25,0480B40 X 0 X 243,1
25,0480B40 X 0 X 582,1
25,0480B40 X 0 X 401,1
25,0480B40 X 0 X 197,1
25,0480B40 X 0 X 298,1
25,0480B40 X 0 X 110,1
25,0480B40 X 0 X 265,1
25,0480B40 X 0 X 271,1
25,0480B40 X 0 X 573,1
25,0480B40 X 0 X 304,1
25,0480B40 X 0 X 196,1
25,0480B40 X 0 X 250,1
25,0480B40 X 0 X 855,1
25,0480B40 X 0 X 161,1
25,0480B40 X 0 X 192,1
25,0480B40 X 0 X 115,1
25,0480B40 X 0 X 310,1
26,04HS503 X 0 X 303,1
26,04HS503 X 0 X 250,0
26,04HS503 X 0 X 180,0
26,04HS503 X 0 X 295,0
26,04HS503 X 0 X 401,1
26,04HS503 X 0 X 298,0
26,04HS503 X 0 X 196,1
26,04HS503 X 0 X 75,1
26,04HS503 X 0 X 294,1
26,04HS503 X 0 X 265,1
26,04HS503 X 0 X 288,1
26,04HS503 X 0 X 176,1
26,04HS503 X 0 X 149,1
26,04HS503 X 0 X 188,1
26,04HS503 X 0 X 13,0
26,04HS503 X 0 X 159,1
26,04HS503 X 0 X 274,1
26,04HS503 X 0 X 23,0
26,04HS503 X 0 X 843,1
26,04HS503 X 0 X 161,1
27,04LF0UN X 0 X 196,1
27,04LF0UN X 0 X 149,1
27,04LF0UN X 0 X 259,1
27,04LF0UN X 0 X 294,1
27,04LF0UN X 0 X 271,1
27,04LF0UN X 0 X 75,1
27,04LF0UN X 0 X 159,1
27,04LF0UN X 0 X 180,1
27,04LF0UN X 0 X 274,1
27,04LF0UN X 0 X 161,1
27,04LF0UN X 0 X 843,1
27,04LF0UN X 0 X 55,1
27,04LF0UN X 0 X 115,1
27,04LF0UN X 0 X 303,1
27,04LF0UN X 0 X 154,1
27,04LF0UN X 0 X 221,1
27,04LF0UN X 0 X 577,1
27,04LF0UN X 0 X 250,1
27,04LF0UN X 0 X 265,1
27,04LF0UN X 0 X 295,1
28,04O83N3 X 0 X 274,0
28,04O83N3 X 0 X 855,0
28,04O83N3 X 0 X 265,1
28,04O83N3 X 0 X 310,0
28,04O83N3 X 0 X 843,0
28,04O83N3 X 0 X 180,0
28,04O83N3 X 0 X 192,0
28,04O83N3 X 0 X 115,1
28,04O83N3 X 0 X 577,0
28,04O83N3 X 0 X 76,0
28,04O83N3 X 0 X 196,0
28,04O83N3 X 0 X 304,1
28,04O83N3 X 0 X 23,0
28,04O83N3 X 0 X 105,0
28,04O83N3 X 0 X 303,1
28,04O83N3 X 0 X 250,1
28,04O83N3 X 0 X 75,0
28,04O83N3 X 0 X 298,0
28,04O83N3 X 0 X 159,1
28,04O83N3 X 0 X 188,0
29,04TSSTV X 0 X 294,1
29,04TSSTV X 0 X 110,1
29,04TSSTV X 0 X 303,1
29,04TSSTV X 0 X 289,1
29,04TSSTV X 0 X 265,1
29,04TSSTV X 0 X 298,1
29,04TSSTV X 0 X 547,1
29,04TSSTV X 0 X 115,1
29,04TSSTV X 0 X 106,1
29,04TSSTV X 0 X 149,1
29,04TSSTV X 0 X 157,1
29,04TSSTV X 0 X 310,1
29,04TSSTV X 0 X 577,1
29,04TSSTV X 0 X 250,1
29,04TSSTV X 0 X 55,1
29,04TSSTV X 0 X 176,1
29,04TSSTV X 0 X 76,1
29,04TSSTV X 0 X 583,1
29,04TSSTV X 0 X 843,1
29,04TSSTV X 0 X 191,1
30,051A06M X 0 X 295,0
30,051A06M X 0 X 13,0
30,051A06M X 0 X 23,0
30,051A06M X 0 X 250,0
30,051A06M X 0 X 356,0
30,051A06M X 0 X 134,0
30,051A06M X 0 X 188,0
30,051A06M X 0 X 196,0
30,051A06M X 0 X 110,0
30,051A06M X 0 X 843,0
30,051A06M X 0 X 159,0
30,051A06M X 0 X 76,0
30,051A06M X 0 X 303,0
30,051A06M X 0 X 216,0
30,051A06M X 0 X 75,0
30,051A06M X 0 X 298,0
30,051A06M X 0 X 265,0
30,051A06M X 0 X 271,0
30,051A06M X 0 X 115,0
30,051A06M X 0 X 55,0
31,055MN2K X 0 X 159,1
31,055MN2K X 0 X 843,1
31,055MN2K X 0 X 188,1
31,055MN2K X 0 X 115,1
31,055MN2K X 0 X 304,1
31,055MN2K X 0 X 288,1
31,055MN2K X 0 X 216,1
31,055MN2K X 0 X 303,1
31,055MN2K X 0 X 271,1
31,055MN2K X 0 X 295,1
31,055MN2K X 0 X 23,1
31,055MN2K X 0 X 401,1
31,055MN2K X 0 X 274,1
31,055MN2K X 0 X 13,1
31,055MN2K X 0 X 298,1
31,055MN2K X 0 X 196,1
31,055MN2K X 0 X 149,1
31,055MN2K X 0 X 294,1
31,055MN2K X 0 X 250,1
31,055MN2K X 0 X 265,1
32,05LJNFC X 0 X 577,0
32,05LJNFC X 0 X 295,0
32,05LJNFC X 0 X 398,0
32,05LJNFC X 0 X 237,0
32,05LJNFC X 0 X 303,0
32,05LJNFC X 0 X 250,0
32,05LJNFC X 0 X 149,0
32,05LJNFC X 0 X 401,0
32,05LJNFC X 0 X 582,0
32,05LJNFC X 0 X 843,0
32,05LJNFC X 0 X 265,0
32,05LJNFC X 0 X 197,0
32,05LJNFC X 0 X 176,0
32,05LJNFC X 0 X 85,0
32,05LJNFC X 0 X 106,0
32,05LJNFC X 0 X 159,0
32,05LJNFC X 0 X 856,0
32,05LJNFC X 0 X 115,0
32,05LJNFC X 0 X 55,0
32,05LJNFC X 0 X 110,0
33,05R3BKO X 0 X 216,1
33,05R3BKO X 0 X 76,1
33,05R3BKO X 0 X 250,1
33,05R3BKO X 0 X 303,1
33,05R3BKO X 0 X 356,1
33,05R3BKO X 0 X 265,1
33,05R3BKO X 0 X 134,1
33,05R3BKO X 0 X 188,1
33,05R3BKO X 0 X 55,1
33,05R3BKO X 0 X 298,1
33,05R3BKO X 0 X 23,1
33,05R3BKO X 0 X 110,1
33,05R3BKO X 0 X 75,1
33,05R3BKO X 0 X 13,1
33,05R3BKO X 0 X 295,1
33,05R3BKO X 0 X 159,1
33,05R3BKO X 0 X 115,1
33,05R3BKO X 0 X 196,1
33,05R3BKO X 0 X 843,1
33,05R3BKO X 0 X 271,1
34,066NSPH X 0 X 188,0
34,066NSPH X 0 X 90,0
34,066NSPH X 0 X 843,0
34,066NSPH X 0 X 216,0
34,066NSPH X 0 X 13,0
34,066NSPH X 0 X 225,0
34,066NSPH X 0 X 81,0
34,066NSPH X 0 X 265,0
34,066NSPH X 0 X 303,0
34,066NSPH X 0 X 180,0
34,066NSPH X 0 X 115,0
34,066NSPH X 0 X 298,0
34,066NSPH X 0 X 575,0
34,066NSPH X 0 X 23,0
34,066NSPH X 0 X 75,0
34,066NSPH X 0 X 159,0
34,066NSPH X 0 X 310,0
34,066NSPH X 0 X 271,0
34,066NSPH X 0 X 149,0
34,066NSPH X 0 X 259,0
35,06KCWZW X 0 X 216,0
35,06KCWZW X 0 X 106,0
35,06KCWZW X 0 X 294,0
35,06KCWZW X 0 X 265,0
35,06KCWZW X 0 X 274,0
35,06KCWZW X 0 X 159,0
35,06KCWZW X 0 X 295,0
35,06KCWZW X 0 X 391,0
35,06KCWZW X 0 X 303,0
35,06KCWZW X 0 X 221,0
35,06KCWZW X 0 X 76,0
35,06KCWZW X 0 X 197,0
35,06KCWZW X 0 X 115,0
35,06KCWZW X 0 X 75,0
35,06KCWZW X 0 X 161,0
35,06KCWZW X 0 X 55,0
35,06KCWZW X 0 X 419,0
35,06KCWZW X 0 X 298,0
35,06KCWZW X 0 X 841,0
35,06KCWZW X 0 X 188,0
36,06Q258W X 0 X 115,1
36,06Q258W X 0 X 159,1
36,06Q258W X 0 X 843,1
36,06Q258W X 0 X 250,1
36,06Q258W X 0 X 196,1
36,06Q258W X 0 X 855,1
36,06Q258W X 0 X 180,1
36,06Q258W X 0 X 161,1
36,06Q258W X 0 X 294,1
36,06Q258W X 0 X 265,1
36,06Q258W X 0 X 55,1
36,06Q258W X 0 X 66,1
36,06Q258W X 0 X 188,1
36,06Q258W X 0 X 304,1
36,06Q258W X 0 X 195,1
36,06Q258W X 0 X 582,1
36,06Q258W X 0 X 310,1
36,06Q258W X 0 X 303,1
36,06Q258W X 0 X 243,1
36,06Q258W X 0 X 76,1
37,06SG2EQ X 0 X 134,1
37,06SG2EQ X 0 X 274,1
37,06SG2EQ X 0 X 149,1
37,06SG2EQ X 0 X 250,1
37,06SG2EQ X 0 X 115,1
37,06SG2EQ X 0 X 303,1
37,06SG2EQ X 0 X 55,1
37,06SG2EQ X 0 X 300,1
37,06SG2EQ X 0 X 159,1
37,06SG2EQ X 0 X 176,1
37,06SG2EQ X 0 X 4,1
37,06SG2EQ X 0 X 92,1
37,06SG2EQ X 0 X 265,1
37,06SG2EQ X 0 X 295,1
37,06SG2EQ X 0 X 221,1
37,06SG2EQ X 0 X 75,1
37,06SG2EQ X 0 X 13,1
37,06SG2EQ X 0 X 298,1
37,06SG2EQ X 0 X 188,1
37,06SG2EQ X 0 X 216,1
38,06V4ZR4 X 0 X 855,1
38,06V4ZR4 X 0 X 582,1
38,06V4ZR4 X 0 X 401,1
38,06V4ZR4 X 0 X 250,1
38,06V4ZR4 X 0 X 577,1
38,06V4ZR4 X 0 X 271,1
38,06V4ZR4 X 0 X 265,1
38,06V4ZR4 X 0 X 298,1
38,06V4ZR4 X 0 X 192,1
38,06V4ZR4 X 0 X 196,1
38,06V4ZR4 X 0 X 115,1
38,06V4ZR4 X 0 X 110,1
38,06V4ZR4 X 0 X 197,1
38,06V4ZR4 X 0 X 294,1
38,06V4ZR4 X 0 X 310,1
38,06V4ZR4 X 0 X 23,1
38,06V4ZR4 X 0 X 161,1
38,06V4ZR4 X 0 X 573,1
38,06V4ZR4 X 0 X 843,1
38,06V4ZR4 X 0 X 303,1
39,07294KB X 0 X 188,0
39,07294KB X 0 X 250,0
39,07294KB X 0 X 843,0
